	Reference	Reference		Sample	Sample		Phase offset	Phase Diff
Frequency (THz)	Amplitude	Phase	Frequency (THz)	Amplitude	Phase
0	3.25357E-4	0	0	5.90495E-6	0	0	0	0
1.11111E10	3.26478E-4	7.56541	1.11111E10	6.09606E-6	7.82298	0.25757	0.19897	0.0586
2.22222E10	3.29988E-4	15.13037	2.22222E10	6.63071E-6	15.67575	0.54538	0.39794	0.14745
3.33333E10	3.36305E-4	22.69488	3.33333E10	7.41991E-6	23.57143	0.87655	0.5969	0.27964
4.44444E10	3.46034E-4	30.25972	4.44444E10	8.36976E-6	31.50784	1.24812	0.79587	0.45225
5.55556E10	3.59849E-4	37.82652	5.55556E10	9.40435E-6	39.47686	1.65034	0.99484	0.6555
6.66667E10	3.78356E-4	45.39761	6.66667E10	1.04676E-5	47.47024	2.07263	1.19381	0.87882
7.77778E10	4.01974E-4	52.97548	7.77778E10	1.15183E-5	55.48138	2.50591	1.39277	1.11314
8.88889E10	4.30862E-4	60.5623	8.88889E10	1.25253E-5	63.50539	2.94309	1.59174	1.35135
1E11	4.64912E-4	68.15957	1E11	1.3464E-5	71.53871	3.37914	1.79071	1.58843
1.11111E11	5.0379E-4	75.76789	1.11111E11	1.43146E-5	79.57866	3.81077	1.98968	1.82109
1.22222E11	5.46998E-4	83.38715	1.22222E11	1.50614E-5	87.62322	4.23607	2.18864	2.04743
1.33333E11	5.93944E-4	91.01668	1.33333E11	1.56918E-5	95.67074	4.65406	2.38761	2.26645
1.44444E11	6.44002E-4	98.65547	1.44444E11	1.61966E-5	103.71984	5.06437	2.58658	2.47779
1.55556E11	6.96549E-4	106.30239	1.55556E11	1.65699E-5	111.76929	5.4669	2.78555	2.68135
1.66667E11	7.51002E-4	113.9563	1.66667E11	1.68094E-5	119.81795	5.86165	2.98451	2.87714
1.77778E11	8.06832E-4	121.6161	1.77778E11	1.69167E-5	127.86471	6.24861	3.18348	3.06513
1.88889E11	8.63576E-4	129.28082	1.88889E11	1.68974E-5	135.90844	6.62762	3.38245	3.24517
2E11	9.20846E-4	136.9496	2E11	1.67614E-5	143.948	6.9984	3.58142	3.41698
2.11111E11	9.7833E-4	144.62169	2.11111E11	1.65231E-5	151.98217	7.36048	3.78038	3.5801
2.22222E11	0.00104	152.29647	2.22222E11	1.62017E-5	160.0097	7.71323	3.97935	3.73388
2.33333E11	0.00109	159.97343	2.33333E11	1.58211E-5	168.02934	8.05592	4.17832	3.8776
2.44444E11	0.00115	167.65213	2.44444E11	1.54102E-5	176.0399	8.38777	4.37729	4.01048
2.55556E11	0.00121	175.33225	2.55556E11	1.50025E-5	184.04039	8.70814	4.57625	4.13189
2.66667E11	0.00126	183.01352	2.66667E11	1.46354E-5	192.03026	9.01674	4.77522	4.24152
2.77778E11	0.00132	190.69575	2.77778E11	1.43485E-5	200.00965	9.3139	4.97419	4.33971
2.88889E11	0.00137	198.3788	2.88889E11	1.41812E-5	207.97969	9.60089	5.17316	4.42773
3E11	0.00143	206.06256	3E11	1.41691E-5	215.94263	9.88007	5.37212	4.50795
3.11111E11	0.00149	213.74699	3.11111E11	1.43396E-5	223.90172	10.15473	5.57109	4.58364
3.22222E11	0.00154	221.43206	3.22222E11	1.47093E-5	231.86077	10.42871	5.77006	4.65865
3.33333E11	0.0016	229.11775	3.33333E11	1.52821E-5	239.82348	10.70572	5.96903	4.73669
