Reference	Reference	Reference	windowed Reference	windowed Reference	windowed Reference	Sample	Sample	Sample	windowed Sample	windowed Sample	windowed Sample
Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error
120.25	-0.000116		120.25	-0.0		122.49999999999999	-6.66667e-07		122.85	0.0	
120.29999999999998	-0.000143667		120.29999999999998	-5.318886012335221e-07		122.55000000000001	-9.33333e-06		122.9	1.4808929015947214e-08	
120.35000000000001	-9.3e-05		120.35000000000001	-1.3721315716806547e-06		122.6	2.73333e-05		122.95	-5.40984265584334e-07	
120.39999999999999	-9.23333e-05		120.39999999999999	-3.0462552137825166e-06		122.65	-1.4e-05		122.99999999999999	1.2097057729681426e-06	
120.45	-0.000153333		120.45	-8.915651163989049e-06		122.7	-2.26667e-05		123.05	-2.907283873657024e-06	
120.5	-0.000155333		120.5	-1.3955551436525106e-05		122.74999999999999	7.33333e-06		123.1	-2.575496554920295e-06	
120.54999999999998	-0.000107333		120.54999999999998	-1.3697183654780836e-05		122.80000000000001	-1.6e-05		123.15	-9.358349045597714e-07	
120.60000000000001	-0.000138667		120.60000000000001	-2.369814285364743e-05		122.85	6.66667e-07		123.2	-4.443391103830278e-06	
120.64999999999999	-0.000139		120.64999999999999	-3.0449205261367442e-05		122.9	4e-06		123.24999999999999	-1.0222762065975943e-06	
120.7	-0.000139667		120.7	-3.790266821550552e-05		122.95	-3.66667e-05		123.3	-3.6183754653411315e-07	
120.75	-0.000137667		120.75	-4.502871165632692e-05		122.99999999999999	3.66667e-05		123.35	1.090279845027379e-06	
120.79999999999998	-0.000132333		120.79999999999998	-5.099457705730911e-05		123.05	-5e-05		123.4	6.936307550131593e-06	
120.85000000000001	-9.16667e-05		120.85000000000001	-4.082050112649394e-05		123.1	-2.86667e-05		123.45	5.343772749732753e-06	
120.89999999999999	-5.4e-05		120.89999999999999	-2.7328763199653933e-05		123.15	-7.33333e-06		123.49999999999999	-7.4226439114882286e-06	
