Frequency	σRe	σIm
3.02734000E+11	NaN	6.02675800E+01
3.07617000E+11	NaN	6.33050200E+01
3.12500000E+11	NaN	6.57230600E+01
3.17383000E+11	NaN	6.78387600E+01
3.22266000E+11	NaN	7.34793200E+01
3.27148000E+11	NaN	7.55279900E+01
3.32031000E+11	NaN	8.11493600E+01
3.36914000E+11	NaN	8.38241200E+01
3.41797000E+11	NaN	8.61895700E+01
3.46680000E+11	NaN	8.85966000E+01
3.51563000E+11	NaN	8.90474300E+01
3.56445000E+11	NaN	9.18768000E+01
3.61328000E+11	NaN	8.98883100E+01
3.66211000E+11	NaN	9.16585400E+01
3.71094000E+11	NaN	9.03925200E+01
3.75977000E+11	NaN	8.98080000E+01
3.80859000E+11	NaN	8.95585300E+01
3.85742000E+11	NaN	8.83896000E+01
3.90625000E+11	NaN	8.78650100E+01
3.95508000E+11	NaN	8.67178100E+01
4.00391000E+11	NaN	8.64831100E+01
4.05273000E+11	NaN	8.62346000E+01
4.10156000E+11	NaN	8.62963900E+01
4.15039000E+11	NaN	8.63453000E+01
4.19922000E+11	NaN	8.63817000E+01
4.24805000E+11	NaN	8.64059700E+01
4.29688000E+11	NaN	8.67441500E+01
4.34570000E+11	NaN	8.70722900E+01
4.39453000E+11	NaN	8.90724600E+01
4.44336000E+11	NaN	8.97489400E+01
4.49219000E+11	NaN	9.17791100E+01
4.54102000E+11	NaN	9.34953500E+01
4.58984000E+11	NaN	9.48944600E+01
4.63867000E+11	NaN	9.73468900E+01
4.68750000E+11	NaN	9.87835400E+01
4.73633000E+11	NaN	1.00950210E+02
4.78516000E+11	NaN	1.02425440E+02
4.83398000E+11	NaN	1.04640810E+02
4.88281000E+11	NaN	1.04766860E+02
4.93164000E+11	NaN	1.06295270E+02
4.98047000E+11	NaN	1.06775330E+02
5.02930000E+11	2.00074560E+02	1.07589350E+02
5.07813000E+11	1.97663220E+02	1.07013010E+02
5.12695000E+11	1.94561890E+02	1.05363580E+02
5.17578000E+11	1.93748590E+02	1.05419000E+02
5.22461000E+11	1.92884990E+02	1.05469600E+02
5.27344000E+11	1.92240330E+02	1.04731210E+02
5.32227000E+11	1.91542650E+02	1.03973110E+02
5.37109000E+11	1.91717920E+02	1.03504150E+02
5.41992000E+11	1.90923320E+02	1.02705920E+02
5.46875000E+11	1.91020730E+02	1.02195420E+02
5.51758000E+11	1.92039270E+02	1.01971990E+02
5.56641000E+11	1.92344540E+02	1.00583680E+02
5.61523000E+11	1.93324500E+02	1.00311180E+02
5.66406000E+11	1.94289430E+02	1.00018980E+02
5.71289000E+11	1.95508930E+02	9.88440700E+01
5.76172000E+11	1.96715100E+02	9.76311400E+01
5.81055000E+11	1.98655050E+02	9.75771000E+01
5.85938000E+11	2.00599590E+02	9.75070200E+01
5.90820000E+11	2.02548720E+02	9.74208800E+01
5.95703000E+11	2.00855550E+02	9.42209500E+01
6.00586000E+11	2.04622350E+02	9.56347700E+01
6.05469000E+11	2.04426780E+02	9.48395200E+01
6.10352000E+11	2.07154310E+02	9.59294800E+01
6.15234000E+11	2.07723980E+02	9.63691900E+01
6.20117000E+11	2.10468780E+02	9.74643500E+01
6.25000000E+11	2.11837010E+02	9.91876900E+01
6.29883000E+11	2.13200730E+02	1.00924660E+02
6.34766000E+11	2.14266420E+02	1.03642080E+02
6.39648000E+11	2.14495830E+02	1.05071580E+02
6.44531000E+11	2.14411760E+02	1.07488880E+02
6.49414000E+11	2.14307870E+02	1.09927050E+02
6.54297000E+11	2.14184290E+02	1.12386010E+02
6.59180000E+11	2.12896560E+02	1.14523690E+02
6.64063000E+11	2.11578870E+02	1.16682480E+02
6.68945000E+11	2.10524700E+02	1.17861590E+02
6.73828000E+11	2.09438930E+02	1.19051490E+02
6.78711000E+11	2.07440660E+02	1.18903200E+02
6.83594000E+11	2.06284110E+02	1.20110580E+02
6.88477000E+11	2.04196010E+02	1.19971710E+02
6.93359000E+11	2.02969120E+02	1.21197410E+02
6.98242000E+11	2.01993790E+02	1.21394430E+02
7.03125000E+11	2.00984830E+02	1.21590090E+02
7.08008000E+11	1.99001020E+02	1.20406280E+02
7.12891000E+11	1.99144150E+02	1.20914430E+02
7.17773000E+11	1.98309330E+02	1.20027360E+02
7.22656000E+11	1.98410500E+02	1.20523250E+02
7.27539000E+11	1.97513610E+02	1.19609630E+02
7.32422000E+11	1.96579630E+02	1.18679440E+02
7.37305000E+11	1.93051450E+02	1.17109340E+02
7.42188000E+11	1.98190790E+02	1.18829400E+02
7.47070000E+11	1.94582880E+02	1.17225350E+02
7.51953000E+11	1.94548960E+02	1.17678830E+02
7.56836000E+11	1.94498090E+02	1.18130350E+02
7.61719000E+11	1.94699930E+02	1.17434010E+02
7.66602000E+11	1.95948010E+02	1.18186790E+02
7.71484000E+11	1.95854610E+02	1.18625190E+02
7.76367000E+11	1.96821220E+02	1.20543970E+02
7.81250000E+11	1.96702520E+02	1.20985910E+02
7.86133000E+11	1.97931910E+02	1.21742070E+02
7.91016000E+11	1.97787770E+02	1.22180290E+02
7.95898000E+11	1.98732670E+02	1.24130200E+02
8.00781000E+11	1.98287550E+02	1.25773470E+02
8.05664000E+11	1.98101540E+02	1.26221030E+02
8.10547000E+11	1.97898620E+02	1.26666980E+02
8.15430000E+11	1.97403850E+02	1.28333000E+02
8.20313000E+11	1.95748970E+02	1.28467120E+02
8.25195000E+11	1.96639890E+02	1.30466370E+02
8.30078000E+11	1.96096200E+02	1.32161010E+02
8.34961000E+11	1.94370150E+02	1.32306700E+02
8.39844000E+11	1.95233760E+02	1.34333400E+02
8.44727000E+11	1.93459670E+02	1.34484680E+02
8.49609000E+11	1.93114950E+02	1.34948910E+02
8.54492000E+11	1.91282000E+02	1.35101740E+02
8.59375000E+11	1.90895230E+02	1.35564190E+02
8.64258000E+11	1.84796880E+02	1.33524480E+02
8.69141000E+11	1.84342220E+02	1.33980280E+02
8.74023000E+11	1.83870710E+02	1.34435160E+02
8.78906000E+11	1.81866810E+02	1.34594550E+02
8.83789000E+11	1.81353200E+02	1.35048520E+02
8.88672000E+11	1.80822760E+02	1.35501720E+02
8.93555000E+11	1.80275470E+02	1.35954190E+02
8.98438000E+11	1.79962340E+02	1.35063690E+02
9.03320000E+11	1.79380570E+02	1.35507520E+02
9.08203000E+11	1.78781930E+02	1.35950730E+02
9.13086000E+11	1.78414920E+02	1.35027320E+02
9.17969000E+11	1.77781670E+02	1.35462130E+02
9.22852000E+11	1.77378240E+02	1.34513860E+02
9.27734000E+11	1.76710290E+02	1.34940410E+02
9.32617000E+11	1.77640350E+02	1.35650630E+02
9.37500000E+11	1.76947030E+02	1.36075290E+02
9.42383000E+11	1.77868630E+02	1.36784010E+02
9.47266000E+11	1.75753780E+02	1.35502450E+02
9.52148000E+11	1.75008700E+02	1.35918850E+02
9.57031000E+11	1.74246690E+02	1.36335020E+02
9.61914000E+11	1.73467740E+02	1.36751000E+02
9.66797000E+11	1.72671860E+02	1.37166820E+02
9.71680000E+11	1.71859050E+02	1.37582540E+02
9.76563000E+11	1.72722660E+02	1.38273910E+02
9.81445000E+11	1.71884450E+02	1.38688190E+02
9.86328000E+11	1.70791760E+02	1.40582190E+02
9.91211000E+11	1.71637270E+02	1.41278140E+02
9.96094000E+11	1.70757940E+02	1.41698400E+02
1.00098000E+12	1.69861710E+02	1.42118750E+02
1.00586000E+12	1.70690300E+02	1.42812010E+02
1.01074000E+12	1.69768710E+02	1.43231150E+02
1.01563000E+12	1.68830200E+02	1.43650470E+02
1.02051000E+12	1.69641880E+02	1.44341090E+02
1.02539000E+12	1.68678010E+02	1.44759330E+02
1.03027000E+12	1.67930460E+02	1.43632160E+02
1.03516000E+12	1.68491990E+02	1.45865890E+02
1.04004000E+12	1.67718790E+02	1.44723110E+02
1.04492000E+12	1.66694310E+02	1.45133700E+02
1.04980000E+12	1.67473250E+02	1.45811900E+02
