ref_frequency_thz,ref_amplitude,ref_phase,sample_frequency_thz,sample_amplitude,sample_phase,phase_offset,phase_diff
0.0,0.000325357,0.0,0.0,5.90495e-06,0.0,0.0,0.0
0.0111111,0.000326478,7.56541,0.0111111,6.09606e-06,7.82298,0.19897,0.0586
0.0222222,0.000329988,15.13037,0.0222222,6.63071e-06,15.67575,0.39794,0.14745
0.0333333,0.000336305,22.69488,0.0333333,7.41991e-06,23.57143,0.5969,0.27964
0.0444444,0.000346034,30.25972,0.0444444,8.36976e-06,31.50784,0.79587,0.45225
0.0555556,0.000359849,37.82652,0.0555556,9.40435e-06,39.47686,0.99484,0.6555
0.0666667,0.000378356,45.39761,0.0666667,1.04676e-05,47.47024,1.19381,0.87882
0.0777778,0.000401974,52.97548,0.0777778,1.15183e-05,55.48138,1.39277,1.11314
0.0888889,0.000430862,60.5623,0.0888889,1.25253e-05,63.50539,1.59174,1.35135
0.1,0.000464912,68.15957,0.1,1.3464e-05,71.53871,1.79071,1.58843
0.111111,0.00050379,75.76789,0.111111,1.43146e-05,79.57866,1.98968,1.82109
0.122222,0.000546998,83.38715,0.122222,1.50614e-05,87.62322,2.18864,2.04743
0.133333,0.000593944,91.01668,0.133333,1.56918e-05,95.67074,2.38761,2.26645
0.144444,0.000644002,98.65547,0.144444,1.61966e-05,103.71984,2.58658,2.47779
0.155556,0.000696549,106.30239,0.155556,1.65699e-05,111.76929,2.78555,2.68135
0.166667,0.000751002,113.9563,0.166667,1.68094e-05,119.81795,2.98451,2.87714
0.177778,0.000806832,121.6161,0.177778,1.69167e-05,127.86471,3.18348,3.06513
0.188889,0.000863576,129.28082,0.188889,1.68974e-05,135.90844,3.38245,3.24517
0.2,0.000920846,136.9496,0.2,1.67614e-05,143.948,3.58142,3.41698
0.211111,0.00097833,144.62169,0.211111,1.65231e-05,151.98217,3.78038,3.5801
0.222222,0.00104,152.29647,0.222222,1.62017e-05,160.0097,3.97935,3.73388
0.233333,0.00109,159.97343,0.233333,1.58211e-05,168.02934,4.17832,3.8776
0.244444,0.00115,167.65213,0.244444,1.54102e-05,176.0399,4.37729,4.01048
0.255556,0.00121,175.33225,0.255556,1.50025e-05,184.04039,4.57625,4.13189
0.266667,0.00126,183.01352,0.266667,1.46354e-05,192.03026,4.77522,4.24152
0.277778,0.00132,190.69575,0.277778,1.43485e-05,200.00965,4.97419,4.33971
0.288889,0.00137,198.3788,0.288889,1.41812e-05,207.97969,5.17316,4.42773
0.3,0.00143,206.06256,0.3,1.41691e-05,215.94263,5.37212,4.50795
0.311111,0.00149,213.74699,0.311111,1.43396e-05,223.90172,5.57109,4.58364
0.322222,0.00154,221.43206,0.322222,1.47093e-05,231.86077,5.77006,4.65865
0.333333,0.0016,229.11775,0.333333,1.52821e-05,239.82348,5.96903,4.73669
0.344444,0.00165,236.80408,0.344444,1.60505e-05,247.79282,6.16799,4.82075
0.355556,0.00171,244.49105,0.355556,1.69988e-05,255.77078,6.36696,4.91276
0.366667,0.00177,252.17869,0.366667,1.8106e-05,263.75826,6.56593,5.01364
0.377778,0.00182,259.867,0.377778,1.93493e-05,271.7554,6.7649,5.1235
