frequency_thz,n,k,eps1,eps2,sigma_re,sigma_im
,3.53454,3.64457,-0.78995,25.76376,,
,3.55773,3.41128,1.02058,24.27286,,
,3.57015,3.21909,2.38346,22.98528,,
,3.57397,3.05844,3.41916,21.86156,,
,3.57076,2.92252,4.20922,20.87123,,
,3.56166,2.80629,4.8102,19.99012,,
0.2,3.54744,2.70595,5.26214,19.1984,,
0.211111,3.52856,2.61852,5.59411,18.47926,,
0.222222,3.50532,2.54154,5.82783,17.81786,,
0.233333,3.47786,2.47289,5.98033,17.20072,,
0.244444,3.44629,2.4106,6.06588,16.61526,,
0.255556,3.41076,2.35281,6.09756,16.04974,,
0.266667,3.37161,2.29766,6.08853,15.4936,,
0.277778,3.32945,2.24333,6.05272,14.93816,,
0.288889,3.28529,2.1882,6.00494,14.37774,,
0.3,3.24052,2.13095,5.96,13.81074,,
0.311111,3.19677,2.07084,5.93099,13.24003,,
0.322222,3.15574,2.00782,5.92735,12.67228,,
0.333333,3.11879,1.94246,5.9537,12.11624,,
0.344444,3.08683,1.87579,6.00989,11.5805,,
0.355556,3.0602,1.80902,6.09228,11.07189,,
0.366667,3.03879,1.74324,6.19537,10.59469,,
0.377778,3.02219,1.67938,6.31331,10.15078,,
0.388889,3.0098,1.61807,6.44074,9.74014,,
0.4,3.00101,1.55973,6.57327,9.36155,,
0.411111,2.99521,1.50459,6.70749,9.0131,,
0.422222,2.99186,1.45271,6.84086,8.69259,,
0.433333,2.99048,1.40408,6.97155,8.39778,,
0.444444,2.99068,1.35864,7.09826,8.12649,,
0.455556,2.99209,1.31625,7.22008,7.87669,,
0.466667,2.99442,1.27679,7.33637,7.64651,,
0.477778,2.99742,1.2401,7.44667,7.43423,,
0.488889,3.00086,1.20603,7.55067,7.23826,,
0.5,3.00456,1.1744,7.64813,7.05711,,
0.511111,3.00833,1.14506,7.73891,6.88941,,
0.522222,3.01205,1.11782,7.82291,6.73383,,
0.533333,3.01557,1.09251,7.90008,6.5891,,
0.544444,3.0188,1.06897,7.97044,6.45401,,
0.555556,3.02164,1.04701,8.03406,6.32734,,
0.566667,3.02402,1.02644,8.0911,6.20796,,
0.577778,3.02589,1.0071,8.14178,6.09473,,
0.588889,3.02723,0.98879,8.18641,5.98657,,
0.6,3.02802,0.97134,8.22539,5.88247,,
0.611111,3.02828,0.95458,8.25923,5.78146,,
0.622222,3.02804,0.93835,8.2885,5.68272,196.70991,92.58301
0.633333,3.02735,0.92251,8.31385,5.58551,196.7976,93.343
0.644444,3.0263,0.90692,8.33599,5.48925,196.79906,94.18703
0.655556,3.02496,0.8915,8.35562,5.3935,196.70013,95.09493
0.666667,3.02343,0.87615,8.37345,5.29798,196.49127,96.04532
0.677778,3.02179,0.86084,8.39014,5.20255,196.16777,97.01691
0.688889,3.02013,0.84553,8.40626,5.1072,195.72951,97.98975
0.7,3.01853,0.83021,8.42228,5.01203,195.18034,98.94631
0.711111,3.01706,0.8149,8.43857,4.91721,194.52719,99.87222
0.722222,3.01576,0.79962,8.4554,4.82294,193.77904,100.75663
0.733333,3.01467,0.78441,8.47292,4.72944,192.9459,101.59219
0.744444,3.0138,0.76928,8.49119,4.63693,192.03793,102.37475
0.755556,3.01317,0.75429,8.51022,4.54559,191.06474,103.1028
0.766667,3.01276,0.73945,8.52996,4.45556,190.03496,103.77685
0.777778,3.01259,0.72479,8.55035,4.36698,188.95609,104.39873
0.788889,3.01262,0.71033,8.57129,4.27991,187.83442,104.97103
0.8,3.01285,0.69609,8.5927,4.19443,186.67526,105.4966
0.811111,3.01326,0.68208,8.6145,4.11055,185.48317,105.9782
0.822222,3.01384,0.6683,8.63662,4.02831,184.26224,106.41828
0.833333,3.01458,0.65477,8.659,3.94772,183.01637,106.81893
0.844444,3.01548,0.64149,8.68159,3.86881,181.74953,107.18187
0.855556,3.01651,0.62847,8.70435,3.7916,180.46592,107.50858
0.866667,3.01768,0.61572,8.72726,3.71611,179.17006,107.80043
0.877778,3.01897,0.60325,8.75027,3.64239,177.86684,108.05885
0.888889,3.02038,0.59106,8.77335,3.57046,176.56141,108.28546
0.9,3.0219,0.57917,8.79645,3.50037,175.25913,108.48222
0.911111,3.02352,0.56758,8.81954,3.43216,173.96538,108.65148
0.922222,3.02523,0.5563,8.84254,3.36586,172.68539,108.79603
0.933333,3.02701,0.54534,8.86542,3.3015,171.42413,108.91905
0.944444,3.02886,0.5347,8.8881,3.23909,170.1861,109.02408
0.955556,3.03076,0.5244,8.91052,3.17865,168.97521,109.11495
0.966667,3.0327,0.51442,8.93261,3.12016,167.79472,109.19561
0.977778,3.03465,0.50477,8.95432,3.06361,166.64717,109.27008
0.988889,3.03662,0.49545,8.97557,3.00896,165.5343,109.34232
1.0,3.03858,0.48644,8.99633,2.95616,164.45713,109.41609
1.01111,3.04052,0.47774,9.01654,2.90517,163.41591,109.49487
1.02222,3.04244,0.46934,9.03617,2.85591,162.41022,109.58178
1.03333,3.04433,0.46124,9.05519,2.8083,161.43904,109.67951
1.04444,3.04617,0.4534,9.07359,2.76228,160.50077,109.79025
1.05556,3.04797,0.44583,9.09134,2.71775,159.59339,109.91571
1.06667,3.04971,0.43851,9.10846,2.67463,158.7145,110.05703
1.07778,3.0514,0.43141,9.12494,2.63283,157.86145,110.21485
1.08889,3.05304,0.42454,9.14082,2.59226,157.03142,110.38932
1.1,3.05462,0.41787,9.15611,2.55284,156.22149,110.58008
1.11111,3.05615,0.41138,9.17084,2.51449,155.42879,110.78641
1.12222,3.05764,0.40507,9.18505,2.47713,154.65049,111.00719
1.13333,3.05907,0.39893,9.19877,2.44068,153.8839,111.24107
1.14444,3.06046,0.39293,9.21205,2.40509,153.12654,111.48646
1.15556,3.06182,0.38707,9.22492,2.37029,152.3761,111.74168
1.16667,3.06314,0.38135,9.23741,2.33623,151.63054,112.00498
1.17778,3.06443,0.37574,9.24958,2.30286,150.88801,112.27467
