ref_time_ps,ref_amplitude,sample_time_ps,sample_amplitude
118.25,-0.000128727,118.25,-2.12122e-06
118.3,-0.000128727,118.3,-2.12122e-06
118.35,-0.000128727,118.35,-2.12122e-06
118.4,-0.000128727,118.4,-2.12122e-06
118.45,-0.000128727,118.45,-2.12122e-06
118.5,-0.000128727,118.5,-2.12122e-06
118.55,-0.000128727,118.55,-2.12122e-06
118.6,-0.000128727,118.6,-2.12122e-06
118.65,-0.000128727,118.65,-2.12122e-06
118.7,-0.000128727,118.7,-2.12122e-06
118.75,-0.000128727,118.75,-2.12122e-06
118.8,-0.000128727,118.8,-2.12122e-06
118.85,-0.000128727,118.85,-2.12122e-06
118.9,-0.000128727,118.9,-2.12122e-06
118.95,-0.000128727,118.95,-2.12122e-06
119.0,-0.000128727,119.0,-2.12122e-06
119.05,-0.000128727,119.05,-2.12122e-06
119.1,-0.000128727,119.1,-2.12122e-06
119.15,-0.000128727,119.15,-2.12122e-06
119.2,-0.000128727,119.2,-2.12122e-06
119.25,-0.000128727,119.25,-2.12122e-06
119.3,-0.000128727,119.3,-2.12122e-06
119.35,-0.000128727,119.35,-2.12122e-06
119.4,-0.000128727,119.4,-2.12122e-06
119.45,-0.000128727,119.45,-2.12122e-06
119.5,-0.000128727,119.5,-2.12122e-06
119.55,-0.000128727,119.55,-2.12122e-06
119.6,-0.000128727,119.6,-2.12122e-06
119.65,-0.000128727,119.65,-2.12122e-06
119.7,-0.000128727,119.7,-2.12122e-06
119.75,-0.000128727,119.75,-2.12122e-06
119.8,-0.000128727,119.8,-2.12122e-06
119.85,-0.000128727,119.85,-2.12122e-06
119.9,-0.000128727,119.9,-2.12122e-06
119.95,-0.000128727,119.95,-2.12122e-06
120.0,-0.000128727,120.0,-2.12122e-06
120.05,-0.000128727,120.05,-2.12122e-06
120.1,-0.000128727,120.1,-2.12122e-06
120.15,-0.000128727,120.15,-2.12122e-06
120.2,-0.000128727,120.2,-2.12122e-06
120.25,-0.000116,120.25,-2.12122e-06
120.3,-0.000143667,120.3,-2.12122e-06
120.35,-9.3e-05,120.35,-2.12122e-06
120.4,-9.23333e-05,120.4,-2.12122e-06
120.45,-0.000153333,120.45,-2.12122e-06
120.5,-0.000155333,120.5,-2.12122e-06
120.55,-0.000107333,120.55,-2.12122e-06
120.6,-0.000138667,120.6,-2.12122e-06
120.65,-0.000139,120.65,-2.12122e-06
120.7,-0.000139667,120.7,-2.12122e-06
120.75,-0.000137667,120.75,-2.12122e-06
120.8,-0.000132333,120.8,-2.12122e-06
120.85,-9.16667e-05,120.85,-2.12122e-06
120.9,-5.4e-05,120.9,-2.12122e-06
