frequency_thz,n,k,eps1,eps2,sigma_re,sigma_im
0.302734,,,,,,60.26758
0.307617,,,,,,63.30502
0.3125,,,,,,65.72306
0.317383,,,,,,67.83876
0.322266,,,,,,73.47932
0.327148,,,,,,75.52799
0.332031,,,,,,81.14936
0.336914,,,,,,83.82412
0.341797,,,,,,86.18957
0.34668,,,,,,88.5966
0.351563,,,,,,89.04743
0.356445,,,,,,91.8768
0.361328,,,,,,89.88831
0.366211,,,,,,91.65854
0.371094,,,,,,90.39252
0.375977,,,,,,89.808
0.380859,,,,,,89.55853
0.385742,,,,,,88.3896
0.390625,,,,,,87.86501
0.395508,,,,,,86.71781
0.400391,,,,,,86.48311
0.405273,,,,,,86.2346
0.410156,,,,,,86.29639
0.415039,,,,,,86.3453
0.419922,,,,,,86.3817
0.424805,,,,,,86.40597
0.429688,,,,,,86.74415
0.43457,,,,,,87.07229
0.439453,,,,,,89.07246
0.444336,,,,,,89.74894
0.449219,,,,,,91.77911
0.454102,,,,,,93.49535
0.458984,,,,,,94.89446
0.463867,,,,,,97.34689
0.46875,,,,,,98.78354
0.473633,,,,,,100.95021
0.478516,,,,,,102.42544
0.483398,,,,,,104.64081
0.488281,,,,,,104.76686
0.493164,,,,,,106.29527
0.498047,,,,,,106.77533
0.50293,,,,,200.07456,107.58935
0.507813,,,,,197.66322,107.01301
0.512695,,,,,194.56189,105.36358
0.517578,,,,,193.74859,105.419
0.522461,,,,,192.88499,105.4696
0.527344,,,,,192.24033,104.73121
0.532227,,,,,191.54265,103.97311
0.537109,,,,,191.71792,103.50415
0.541992,,,,,190.92332,102.70592
0.546875,,,,,191.02073,102.19542
0.551758,,,,,192.03927,101.97199
0.556641,,,,,192.34454,100.58368
0.561523,,,,,193.3245,100.31118
0.566406,,,,,194.28943,100.01898
0.571289,,,,,195.50893,98.84407
0.576172,,,,,196.7151,97.63114
0.581055,,,,,198.65505,97.5771
0.585938,,,,,200.59959,97.50702
0.59082,,,,,202.54872,97.42088
0.595703,,,,,200.85555,94.22095
0.600586,,,,,204.62235,95.63477
0.605469,,,,,204.42678,94.83952
0.610352,,,,,207.15431,95.92948
0.615234,,,,,207.72398,96.36919
0.620117,,,,,210.46878,97.46435
0.625,,,,,211.83701,99.18769
0.629883,,,,,213.20073,100.92466
0.634766,,,,,214.26642,103.64208
0.639648,,,,,214.49583,105.07158
0.644531,,,,,214.41176,107.48888
0.649414,,,,,214.30787,109.92705
0.654297,,,,,214.18429,112.38601
0.65918,,,,,212.89656,114.52369
0.664063,,,,,211.57887,116.68248
0.668945,,,,,210.5247,117.86159
0.673828,,,,,209.43893,119.05149
0.678711,,,,,207.44066,118.9032
0.683594,,,,,206.28411,120.11058
0.688477,,,,,204.19601,119.97171
0.693359,,,,,202.96912,121.19741
0.698242,,,,,201.99379,121.39443
0.703125,,,,,200.98483,121.59009
0.708008,,,,,199.00102,120.40628
0.712891,,,,,199.14415,120.91443
0.717773,,,,,198.30933,120.02736
0.722656,,,,,198.4105,120.52325
0.727539,,,,,197.51361,119.60963
0.732422,,,,,196.57963,118.67944
0.737305,,,,,193.05145,117.10934
0.742188,,,,,198.19079,118.8294
0.74707,,,,,194.58288,117.22535
0.751953,,,,,194.54896,117.67883
0.756836,,,,,194.49809,118.13035
0.761719,,,,,194.69993,117.43401
0.766602,,,,,195.94801,118.18679
0.771484,,,,,195.85461,118.62519
0.776367,,,,,196.82122,120.54397
0.78125,,,,,196.70252,120.98591
0.786133,,,,,197.93191,121.74207
0.791016,,,,,197.78777,122.18029
0.795898,,,,,198.73267,124.1302
0.800781,,,,,198.28755,125.77347
0.805664,,,,,198.10154,126.22103
0.810547,,,,,197.89862,126.66698
0.81543,,,,,197.40385,128.333
0.820313,,,,,195.74897,128.46712
0.825195,,,,,196.63989,130.46637
0.830078,,,,,196.0962,132.16101
0.834961,,,,,194.37015,132.3067
0.839844,,,,,195.23376,134.3334
0.844727,,,,,193.45967,134.48468
0.849609,,,,,193.11495,134.94891
0.854492,,,,,191.282,135.10174
0.859375,,,,,190.89523,135.56419
0.864258,,,,,184.79688,133.52448
0.869141,,,,,184.34222,133.98028
0.874023,,,,,183.87071,134.43516
0.878906,,,,,181.86681,134.59455
0.883789,,,,,181.3532,135.04852
0.888672,,,,,180.82276,135.50172
0.893555,,,,,180.27547,135.95419
0.898438,,,,,179.96234,135.06369
0.90332,,,,,179.38057,135.50752
0.908203,,,,,178.78193,135.95073
0.913086,,,,,178.41492,135.02732
0.917969,,,,,177.78167,135.46213
0.922852,,,,,177.37824,134.51386
0.927734,,,,,176.71029,134.94041
0.932617,,,,,177.64035,135.65063
0.9375,,,,,176.94703,136.07529
0.942383,,,,,177.86863,136.78401
0.947266,,,,,175.75378,135.50245
0.952148,,,,,175.0087,135.91885
0.957031,,,,,174.24669,136.33502
0.961914,,,,,173.46774,136.751
0.966797,,,,,172.67186,137.16682
0.97168,,,,,171.85905,137.58254
0.976563,,,,,172.72266,138.27391
0.981445,,,,,171.88445,138.68819
0.986328,,,,,170.79176,140.58219
0.991211,,,,,171.63727,141.27814
0.996094,,,,,170.75794,141.6984
1.00098,,,,,169.86171,142.11875
1.00586,,,,,170.6903,142.81201
1.01074,,,,,169.76871,143.23115
1.01563,,,,,168.8302,143.65047
1.02051,,,,,169.64188,144.34109
1.02539,,,,,168.67801,144.75933
1.03027,,,,,167.93046,143.63216
1.03516,,,,,168.49199,145.86589
1.04004,,,,,167.71879,144.72311
1.04492,,,,,166.69431,145.1337
1.0498,,,,,167.47325,145.8119
1.05469,,,,,164.82314,144.37165
1.05957,,,,,165.58621,145.04004
1.06445,,,,,166.34928,145.70843
1.06934,,,,,161.76599,143.97835
1.07422,,,,,162.50465,144.63578
1.0791,,,,,165.11967,145.55586
1.08398,,,,,162.32163,144.0568
1.08887,,,,,161.15684,144.44674
1.09375,,,,,161.87952,145.09449
1.09863,,,,,162.6022,145.74223
1.10352,,,,,161.4034,146.13059
1.1084,,,,,162.11758,146.77719
1.11328,,,,,160.89328,147.16521
1.11816,,,,,161.82246,146.12381
1.12305,,,,,160.57093,146.50418
1.12793,,,,,161.26906,147.14116
1.13281,,,,,159.99199,147.52132
1.1377,,,,,160.68161,148.15719
1.14258,,,,,159.37899,148.53721
1.14746,,,,,160.0601,149.17199
1.15234,,,,,160.74121,149.80676
1.15723,,,,,159.40453,150.18563
1.16211,,,,,160.07713,150.81932
1.16699,,,,,156.89652,149.18366
1.17188,,,,,155.50684,149.5585
1.17676,,,,,154.10012,149.93452
1.18164,,,,,154.73954,150.55666
1.18652,,,,,153.30724,150.93291
1.19141,,,,,153.93813,151.55403
1.19629,,,,,152.48026,151.93057
1.20117,,,,,153.10263,152.5507
1.20605,,,,,151.61917,152.9276
1.21094,,,,,152.23302,153.54674
1.21582,,,,,152.84686,154.16588
1.2207,,,,,151.3293,154.54224
1.22559,,,,,151.93462,155.16041
1.23047,,,,,152.53994,155.77858
1.23535,,,,,150.98828,156.15449
1.24023,,,,,151.58507,156.7717
1.24512,,,,,152.18186,157.38891
1.25,,,,,150.5961,157.76447
1.25488,,,,,151.18437,158.38074
1.25977,,,,,151.77263,158.997
1.26465,,,,,150.15277,159.3723
1.26953,,,,,150.73251,159.98764
1.27441,,,,,151.31225,160.60298
1.2793,,,,,151.89199,161.21831
1.28418,,,,,152.47173,161.83365
1.28906,,,,,146.50099,159.78359
1.29395,,,,,144.79352,160.15668
1.29883,,,,,145.33991,160.76104
1.30371,,,,,145.8863,161.36541
1.30859,,,,,146.43269,161.96977
1.31348,,,,,144.68254,162.34214
1.31836,,,,,145.22039,162.94564
1.32324,,,,,145.75824,163.54914
1.32813,,,,,144.17225,161.90983
1.33301,,,,,144.70229,162.50509
1.33789,,,,,145.03257,165.12705
1.34277,,,,,145.76238,163.6956
1.34766,,,,,143.93287,164.06032
1.35254,,,,,144.45437,164.65474
1.35742,,,,,144.97586,165.24916
1.3623,,,,,145.49736,165.84358
1.36719,,,,,143.82266,164.13398
1.37207,,,,,144.33632,164.72018
1.37695,,,,,144.84997,165.30637
1.38184,,,,,145.36362,165.89256
1.38672,,,,,138.77377,163.69534
1.3916,,,,,139.26241,164.27173
1.39648,,,,,139.75105,164.84812
1.40137,,,,,137.77935,165.20427
1.40625,,,,,138.44907,163.64084
1.41113,,,,,138.9298,164.20903
1.41602,,,,,136.92105,164.55863
1.4209,,,,,137.39319,165.12607
1.42578,,,,,137.86533,165.69351
1.43066,,,,,138.33747,166.26096
1.43555,,,,,136.2858,166.61077
1.44043,,,,,136.74936,167.17748
1.44531,,,,,137.21292,167.74418
1.4502,,,,,137.67647,168.31088
1.45508,,,,,135.58188,168.66105
1.45996,,,,,136.03686,169.22702
1.46484,,,,,136.49183,169.793
1.46973,,,,,136.9468,170.35898
1.47461,,,,,134.80929,170.70961
1.47949,,,,,135.25568,171.27487
1.48438,,,,,135.70206,171.84014
1.48926,,,,,131.0913,169.71443
1.49414,,,,,128.89069,170.06514
1.49902,,,,,129.3119,170.62091
1.50391,,,,,127.0855,170.97379
1.50879,,,,,127.49811,171.5289
1.51367,,,,,127.91073,172.08401
1.51855,,,,,128.32334,172.63912
1.52344,,,,,126.2264,170.66928
1.52832,,,,,126.63097,171.21629
1.5332,,,,,127.03554,171.76331
1.53809,,,,,127.44012,172.31033
1.54297,,,,,127.84469,172.85734
1.54785,,,,,125.52055,173.20415
1.55273,,,,,125.91652,173.75054
1.55762,,,,,126.31248,174.29692
1.5625,,,,,126.70844,174.84331
1.56738,,,,,124.51113,172.79736
1.57227,,,,,124.89902,173.33567
1.57715,,,,,125.2869,173.87398
1.58203,,,,,125.67479,174.41229
1.58691,,,,,120.62423,172.13504
1.5918,,,,,120.99538,172.66469
1.59668,,,,,121.36653,173.19434
1.60156,,,,,121.73768,173.72398
1.60645,,,,,124.94857,174.44801
