time_ps,amplitude
120.25,-0.000116
120.3,-0.000143667
120.35,-9.3e-05
120.4,-9.23333e-05
120.45,-0.000153333
120.5,-0.000155333
120.55,-0.000107333
120.6,-0.000138667
120.65,-0.000139
120.7,-0.000139667
120.75,-0.000137667
120.8,-0.000132333
120.85,-9.16667e-05
120.9,-5.4e-05
120.95,-6.8e-05
121.0,-5.13333e-05
121.05,-3e-06
121.1,-3.93333e-05
121.15,2.93333e-05
121.2,5.36667e-05
121.25,5.76667e-05
121.3,0.000126667
121.35,0.000157
121.4,0.000155333
121.45,0.000221333
121.5,0.000261
121.55,0.000353333
121.6,0.000432
121.65,0.000484
121.7,0.000676333
121.75,0.0008
121.8,0.00107
121.85,0.00131
121.9,0.00177
121.95,0.00237
122.0,0.00309
122.05,0.00404
122.1,0.00531
122.15,0.0068
122.2,0.00844
122.25,0.00995
122.3,0.01115
122.35,0.0117
122.4,0.01114
122.45,0.00889
122.5,0.00492
122.55,-0.00101
122.6,-0.0083
122.65,-0.01635
122.7,-0.02351
122.75,-0.0277
122.8,-0.0284
122.85,-0.02409
122.9,-0.01544
122.95,-0.00314
123.0,0.00938
123.05,0.01886
123.1,0.02336
123.15,0.02121
123.2,0.01257
123.25,0.00248
123.3,-0.00742
123.35,-0.01263
123.4,-0.01201
123.45,-0.00642
123.5,0.000946
123.55,0.00658
123.6,0.00813
123.65,0.00526
123.7,-0.000310333
123.75,-0.00516
123.8,-0.00705
123.85,-0.00501
123.9,-0.000581
123.95,0.00379
124.0,0.00571
124.05,0.00448
124.1,0.00141
124.15,-0.00202
124.2,-0.00363
124.25,-0.00313
124.3,-0.00122
124.35,0.00085
124.4,0.00188
124.45,0.00142
124.5,0.000165667
124.55,-0.000990667
124.6,-0.00129
124.65,-0.000727333
124.7,0.000218667
124.75,0.000876333
124.8,0.000862
124.85,0.000301667
124.9,-0.000358333
124.95,-0.000684
125.0,-0.00051
125.05,-7.03333e-05
125.1,0.000432
125.15,0.000637
125.2,0.000495333
125.25,0.000131333
125.3,-0.000277667
125.35,-0.000514
125.4,-0.000500333
125.45,-0.000335
125.5,-0.000160333
125.55,8.33333e-06
125.6,0.000127667
125.65,0.000130333
125.7,4.1e-05
125.75,1.7e-05
125.8,-5.7e-05
125.85,-1.3e-05
125.9,6.33333e-06
125.95,5.43333e-05
126.0,1.03333e-05
126.05,-4.96667e-05
126.1,-5.43333e-05
126.15,-0.000107
126.2,-4.3e-05
126.25,3.8e-05
126.3,0.000137333
126.35,0.000256667
126.4,0.000246333
126.45,8.76667e-05
126.5,-9.33333e-05
126.55,-0.000242333
126.6,-0.000284667
126.65,-0.000280667
126.7,-0.000135
126.75,-3.63333e-05
126.8,8.26667e-05
126.85,0.000145667
126.9,9.6e-05
126.95,0.000159
127.0,0.000138333
127.05,0.000118667
127.1,0.000108667
127.15,9.16667e-05
127.2,-3.06667e-05
127.25,-8.73333e-05
127.3,-0.000126333
127.35,-5.53333e-05
127.4,4e-05
127.45,0.000154667
127.5,0.000177
127.55,0.000151667
127.6,2.06667e-05
127.65,-5.36667e-05
127.7,-0.000135
127.75,-0.000117333
127.8,-6.7e-05
127.85,3.1e-05
127.9,0.000101
127.95,0.000108333
128.0,2.6e-05
128.05,4.33333e-05
128.1,1.7e-05
128.15,6.6e-05
128.2,0.000101
128.25,8.63333e-05
128.3,0.000115333
128.35,3.3e-05
128.4,-4.2e-05
128.45,-7.43333e-05
128.5,-7.46667e-05
128.55,-3.33333e-05
128.6,4.06667e-05
128.65,7.3e-05
128.7,7.53333e-05
128.75,8.26667e-05
128.8,-1.5e-05
128.85,-9.4e-05
128.9,-0.000130667
128.95,-0.000138
129.0,-8.1e-05
129.05,3.76667e-05
129.1,6.83333e-05
129.15,0.000100333
129.2,6.06667e-05
