freq_THz,fft_mag,n,k,eps_real,eps_imag,sigma_real,sigma_imag
0.000000000000000000e+00,1.182422641509429592e-03,nan,nan,nan,nan,nan,nan
2.089864158829575144e-02,1.300393628709764536e-03,nan,nan,nan,nan,nan,nan
4.179728317659150288e-02,1.543070478093603020e-03,nan,nan,nan,nan,nan,nan
6.269592476488726474e-02,1.697171777548127369e-03,nan,nan,nan,nan,nan,nan
8.359456635318300577e-02,1.580856541735149202e-03,nan,nan,nan,nan,nan,nan
1.044932079414787607e-01,1.114834372538581891e-03,nan,nan,nan,nan,nan,nan
1.253918495297745295e-01,3.965201822038757172e-04,nan,nan,nan,nan,nan,nan
1.462904911180702705e-01,5.761969856999876261e-04,nan,nan,nan,nan,nan,nan
1.671891327063660115e-01,1.252390359763004687e-03,nan,nan,nan,nan,nan,nan
1.880877742946617803e-01,1.658583058673493080e-03,nan,nan,nan,nan,nan,nan
2.089864158829575214e-01,1.989083013681238431e-03,nan,nan,nan,nan,nan,nan
2.298850574712532902e-01,2.749768493135043308e-03,nan,nan,nan,nan,nan,nan
2.507836990595490589e-01,4.035429857829895758e-03,nan,nan,nan,nan,nan,nan
2.716823406478448000e-01,5.492252791149115389e-03,nan,nan,nan,nan,nan,nan
2.925809822361405410e-01,6.824729835637507840e-03,nan,nan,nan,nan,nan,nan
3.134796238244362820e-01,8.001623607897556320e-03,nan,nan,nan,nan,nan,nan
3.343782654127320231e-01,9.235977239556205851e-03,nan,nan,nan,nan,nan,nan
3.552769070010278196e-01,1.075304787288427523e-02,nan,nan,nan,nan,nan,nan
3.761755485893235607e-01,1.254611718515459724e-02,nan,nan,nan,nan,nan,nan
3.970741901776193017e-01,1.441977962856986518e-02,nan,nan,nan,nan,nan,nan
4.179728317659150427e-01,1.622609548929628345e-02,nan,nan,nan,nan,nan,nan
4.388714733542107838e-01,1.799775076934309256e-02,nan,nan,nan,nan,nan,nan
4.597701149425065803e-01,1.986408866135660339e-02,nan,nan,nan,nan,nan,nan
4.806687565308023213e-01,2.185803916757010287e-02,nan,nan,nan,nan,nan,nan
5.015673981190981179e-01,2.384051003738033719e-02,nan,nan,nan,nan,nan,nan
5.224660397073938034e-01,2.563801782932002143e-02,nan,nan,nan,nan,nan,nan
5.433646812956895999e-01,2.724975108309899904e-02,nan,nan,nan,nan,nan,nan
5.642633228839852855e-01,2.891902026086326863e-02,nan,nan,nan,nan,nan,nan
5.851619644722810820e-01,3.097599201282321205e-02,nan,nan,nan,nan,nan,nan
6.060606060605768786e-01,3.356483534111460304e-02,nan,nan,nan,nan,nan,nan
6.269592476488725641e-01,3.652502711693242365e-02,nan,nan,nan,nan,nan,nan
6.478578892371683606e-01,3.954075855485653102e-02,nan,nan,nan,nan,nan,nan
6.687565308254640462e-01,4.237664509602461632e-02,nan,nan,nan,nan,nan,nan
6.896551724137598427e-01,4.498453177655648005e-02,nan,nan,nan,nan,nan,nan
7.105538140020556392e-01,4.743219310369459901e-02,nan,nan,nan,nan,nan,nan
7.314524555903513248e-01,4.975199085001206362e-02,nan,nan,nan,nan,nan,nan
7.523510971786471213e-01,5.185510157742933418e-02,nan,nan,nan,nan,nan,nan
7.732497387669428068e-01,5.357748431809883360e-02,nan,nan,nan,nan,nan,nan
7.941483803552386034e-01,5.479133827713495580e-02,nan,nan,nan,nan,nan,nan
8.150470219435343999e-01,5.547031597913291284e-02,nan,nan,nan,nan,nan,nan
8.359456635318300854e-01,5.566834238404491653e-02,nan,nan,nan,nan,nan,nan
