time_ps,amplitude,stderr
9.900000000000000000e+01,-1.367924528301887118e-04,6.647582905376140043e-06
9.904999999999999716e+01,-1.295471698113207512e-04,6.549891557464923189e-06
9.909999999999998010e+01,-1.316981132075471491e-04,7.841141914211481663e-06
9.914999999999999147e+01,-1.323396226415094314e-04,5.996969888495507884e-06
9.919999999999998863e+01,-1.406415094339622971e-04,5.651508419141006590e-06
9.924999999999998579e+01,-1.312452830188679117e-04,6.529768929959127578e-06
9.929999999999998295e+01,-1.390188679245283113e-04,5.794787223426154884e-06
9.934999999999996589e+01,-1.443773584905660393e-04,7.657691992144930867e-06
9.939999999999997726e+01,-1.282641509433962137e-04,5.621004633419701674e-06
9.944999999999997442e+01,-1.387547169811320646e-04,5.691793675470650792e-06
9.949999999999997158e+01,-1.378113207547169755e-04,5.848268760316749399e-06
9.954999999999996874e+01,-1.379622641509434602e-04,5.940608047058786202e-06
9.959999999999995168e+01,-1.368301886792452991e-04,7.712792877799350472e-06
9.964999999999996305e+01,-1.349811320754717352e-04,6.840006004404551319e-06
9.969999999999996021e+01,-1.440754716981132054e-04,7.712890416282837272e-06
9.974999999999995737e+01,-1.433584905660377485e-04,6.758146822881063715e-06
9.979999999999995453e+01,-1.301509433962263920e-04,4.699241830520368926e-06
9.984999999999995168e+01,-1.286792452830188367e-04,6.757128987764271345e-06
9.989999999999994884e+01,-1.315094339622641041e-04,6.745309283047396927e-06
9.994999999999994600e+01,-1.301132075471698047e-04,7.418605936820143824e-06
9.999999999999994316e+01,-1.269811320754717305e-04,6.338190009175214918e-06
1.000499999999999403e+02,-1.165283018867924669e-04,6.449662897716942065e-06
1.000999999999999375e+02,-1.297735849056603835e-04,6.475115523775061128e-06
1.001499999999999346e+02,-1.266415094339622821e-04,7.962670755048777997e-06
1.001999999999999318e+02,-1.211698113207547515e-04,5.862658308436415686e-06
1.002499999999999289e+02,-1.300377358490566030e-04,5.845157694074780744e-06
1.002999999999999261e+02,-1.200377358490566446e-04,7.842067019607454505e-06
1.003499999999999233e+02,-1.073584905660377408e-04,5.483987132857973906e-06
1.003999999999999204e+02,-1.121132075471698280e-04,5.907176873069299391e-06
1.004499999999999176e+02,-1.126415094339622671e-04,6.190467662644864890e-06
1.004999999999999147e+02,-1.239245283018868037e-04,7.026565522202844765e-06
1.005499999999999119e+02,-1.104905660377358015e-04,7.366498914649325913e-06
1.005999999999999091e+02,-9.569811320754720914e-05,5.351948232132918954e-06
1.006499999999999062e+02,-1.030188679245282900e-04,6.232158047084748384e-06
1.006999999999998892e+02,-8.928301886792454876e-05,5.848227412831155408e-06
1.007499999999999005e+02,-9.943396226415093775e-05,6.292587729252554270e-06
1.007999999999998977e+02,-8.996226415094339126e-05,6.367971335350039486e-06
1.008499999999998948e+02,-8.011320754716982266e-05,5.450032603320619035e-06
1.008999999999998920e+02,-8.494339622641507094e-05,6.233524534311012676e-06
1.009499999999998749e+02,-7.188679245283018571e-05,6.092537871249420240e-06
1.009999999999998863e+02,-7.724528301886791372e-05,6.353808570192786827e-06
1.010499999999998835e+02,-6.369811320754717671e-05,6.235532769968777441e-06
1.010999999999998806e+02,-6.943396226415095393e-05,7.035965654956705273e-06
1.011499999999998778e+02,-5.637735849056604837e-05,6.452070263931138070e-06
1.011999999999998607e+02,-8.347169811320752917e-05,6.250530986263649252e-06
1.012499999999998721e+02,-7.479245283018866840e-05,6.701984450810126536e-06
1.012999999999998693e+02,-6.449056603773586243e-05,5.994635233118726460e-06
1.013499999999998664e+02,-6.547169811320752532e-05,6.333588984880116861e-06
1.013999999999998636e+02,-5.992452830188679981e-05,6.451387296288272681e-06
1.014499999999998607e+02,-6.098113207547169152e-05,7.326320125625995998e-06
1.014999999999998579e+02,-5.483018867924528456e-05,6.007337144869598032e-06
1.015499999999998550e+02,-3.796226415094340801e-05,6.367524083238606461e-06
1.015999999999998522e+02,-3.879245283018868104e-05,6.964966417884167570e-06
1.016499999999998494e+02,-2.301886792452831739e-06,6.059488227832435108e-06
1.016999999999998465e+02,2.298113207547169959e-05,6.498157614186450244e-06
1.017499999999998437e+02,4.637735849056602892e-05,5.877364633395398976e-06
1.017999999999998408e+02,5.856603773584904705e-05,7.079546471142637230e-06
1.018499999999998380e+02,7.215094339622641880e-05,6.656682722460796877e-06
1.018999999999998352e+02,6.128301886792453224e-05,7.770670701165550374e-06
1.019499999999998323e+02,-8.716981132075475179e-06,6.347500572366356743e-06
1.019999999999998295e+02,-1.089433962264150987e-04,6.272920384402245724e-06
1.020499999999998124e+02,-2.711320754716982188e-04,6.718360984825632499e-06
1.020999999999998238e+02,-5.148679245283018045e-04,6.638401810256001567e-06
1.021499999999998209e+02,-8.696981132075470898e-04,9.193833930765815207e-06
1.021999999999998181e+02,-1.270301886792452777e-03,1.023683883244007450e-05
1.022499999999998153e+02,-1.780264150943396389e-03,1.311840947298984281e-05
1.022999999999997982e+02,-2.251245283018868566e-03,1.327017243445927585e-05
1.023499999999998096e+02,-2.773962264150942915e-03,1.509985659234547015e-05
1.023999999999998067e+02,-3.161283018867924993e-03,1.592918597177464798e-05
1.024499999999998039e+02,-3.324415094339621887e-03,1.254628834929783503e-05
1.024999999999998010e+02,-3.155584905660377328e-03,1.153450513901211634e-05
1.025499999999997840e+02,-2.496301886792453521e-03,1.818886684522490286e-05
1.025999999999997954e+02,-1.401132075471698147e-03,3.017818258240725332e-05
1.026499999999997925e+02,3.573962264150943062e-04,4.254705132914634821e-05
1.026999999999997897e+02,2.301584905660377170e-03,4.808057668137640585e-05
1.027499999999997868e+02,4.461886792452829896e-03,5.018959894445572162e-05
1.027999999999997698e+02,6.126566037735850859e-03,4.208199889665955305e-05
1.028499999999997812e+02,7.114905660377359060e-03,2.867023523004161691e-05
1.028999999999997783e+02,7.012452830188679702e-03,2.517440152251686133e-05
1.029499999999997755e+02,5.585471698113205971e-03,3.922895708838683334e-05
1.029999999999997726e+02,3.030377358490566556e-03,6.184204679223143444e-05
1.030499999999997698e+02,2.539622641509437116e-05,6.904966631625128839e-05
1.030999999999997669e+02,-2.798679245283019253e-03,6.791349896610457068e-05
1.031499999999997641e+02,-4.828867924528300846e-03,4.130193452453216407e-05
1.031999999999997613e+02,-5.355886792452830593e-03,2.091025186921827291e-05
1.032499999999997584e+02,-4.369207547169811148e-03,2.399752803352620624e-05
1.032999999999997556e+02,-2.306754716981132287e-03,4.180608326351318275e-05
1.033499999999997527e+02,-9.271698113207545698e-05,4.095861274808281313e-05
1.033999999999997499e+02,1.513283018867924400e-03,2.578626690610723516e-05
1.034499999999997470e+02,1.764716981132076132e-03,1.277647962959744124e-05
1.034999999999997442e+02,5.752452830188678349e-04,2.407264586332531460e-05
1.035499999999997414e+02,-1.351735849056604063e-03,3.027765368264932205e-05
1.035999999999997385e+02,-3.019320754716981001e-03,2.586406083726763570e-05
1.036499999999997215e+02,-3.646377358490564616e-03,1.448605045638444025e-05
1.036999999999997328e+02,-2.787094339622641585e-03,2.517394472794240527e-05
1.037499999999997300e+02,-8.065660377358492648e-04,3.986679055646471370e-05
1.037999999999997272e+02,1.354603773584905349e-03,3.601362761352742828e-05
1.038499999999997243e+02,2.738792452830188153e-03,2.263385654455366325e-05
1.038999999999997073e+02,2.863320754716981546e-03,1.279305874851843947e-05
1.039499999999997186e+02,1.671320754716980762e-03,2.161147219810650660e-05
1.039999999999997158e+02,4.471698113207546931e-05,2.625824561347148118e-05
1.040499999999997129e+02,-1.266566037735848737e-03,1.791887715155019226e-05
1.040999999999997101e+02,-1.641132075471698126e-03,9.329155092257048788e-06
1.041499999999996930e+02,-1.081547169811320798e-03,1.032896317492451883e-05
1.041999999999997044e+02,-1.368301886792452720e-04,1.456304925470328500e-05
1.042499999999997016e+02,7.012830188679243949e-04,1.059216370263968673e-05
1.042999999999996987e+02,8.630188679245283725e-04,7.489710067819131511e-06
1.043499999999996959e+02,3.826792452830187494e-04,1.159380684361371964e-05
1.043999999999996930e+02,-2.709056603773584240e-04,1.186125631279698957e-05
1.044499999999996902e+02,-8.017735849056604547e-04,9.955781249324226101e-06
1.044999999999996874e+02,-8.723773584905661436e-04,6.121135461199159816e-06
1.045499999999996845e+02,-5.169056603773586030e-04,8.077863521250865225e-06
1.045999999999996817e+02,-2.196226415094340196e-05,9.390615975398094011e-06
1.046499999999996788e+02,2.658113207547169155e-04,6.857189235955933630e-06
1.046999999999996760e+02,2.491320754716981720e-04,6.492871340047604869e-06
1.047499999999996732e+02,4.339622641509433774e-06,7.001954840516101115e-06
1.047999999999996703e+02,-2.941886792452830354e-04,6.483599629344041371e-06
1.048499999999996675e+02,-3.982264150943396028e-04,6.457939139911837138e-06
1.048999999999996646e+02,-3.022264150943396004e-04,5.797253342931606547e-06
1.049499999999996618e+02,-1.149433962264150954e-04,7.622193854515456388e-06
1.049999999999996589e+02,4.037735849056603215e-05,6.011276126230146000e-06
1.050499999999996561e+02,3.071698113207546783e-05,7.119804626025464828e-06
1.050999999999996533e+02,-1.467169811320754550e-04,6.359155519706184218e-06
1.051499999999996504e+02,-3.346415094339622422e-04,8.892502845846263031e-06
1.051999999999996476e+02,-4.770943396226414888e-04,6.214984599444910339e-06
1.052499999999996305e+02,-4.821509433962264642e-04,6.204271443229332372e-06
1.052999999999996419e+02,-3.830943396226414808e-04,6.972573241520039878e-06
1.053499999999996390e+02,-2.224528301886792938e-04,7.619584948444945451e-06
1.053999999999996362e+02,-5.818867924528301817e-05,6.596387060550479226e-06
1.054499999999996334e+02,7.520754716981130491e-05,7.449813504135391528e-06
1.054999999999996163e+02,1.472452830188679211e-04,6.210781153363766378e-06
