freq_THz,fft_mag,n,k,eps_real,eps_imag,sigma_real,sigma_imag
0.000000000000000000e+00,2.064823809523813353e-03,nan,nan,nan,nan,nan,nan
2.089864158829575144e-02,1.893441986584024376e-03,1.002365431789167438e+01,5.097255930711411809e-01,1.002138257043566796e+02,1.021862628385487781e+01,1.188062184610753569e+01,-1.153503330444162174e+02
4.179728317659150288e-02,1.490242498572528010e-03,7.085547327013694385e+00,4.863783891736097043e-01,4.996841698589579295e+01,6.892514190652593520e+00,1.602707690708935218e+01,-1.138656466047934970e+02
6.269592476488726474e-02,1.019436765603210253e-03,6.186102711825509637e+00,1.096089037630753715e+00,3.706645558284061082e+01,1.356103873617963806e+01,4.729997024732793420e+01,-1.257973160598409095e+02
8.359456635318300577e-02,4.301236925661175480e-04,5.141108010975459663e+00,1.675115931111244016e+00,2.362497819785335551e+01,1.722390386549726671e+01,8.010105579964039180e+01,-1.052191567744550298e+02
1.044932079414787607e-01,7.879289938273956184e-04,3.595775641975386350e+00,1.291840917277329526e+00,1.126074951187156969e+01,9.290340207305922249e+00,5.400677926693490605e+01,-5.964798076664344961e+01
1.253918495297745295e-01,2.155482538794670135e-03,3.173919114780362705e+00,7.617043913402815614e-01,9.493568967381092349e+00,4.835176254974123289e+00,3.372952433071392164e+01,-5.924996857046537713e+01
1.462904911180702705e-01,3.537805010670308156e-03,2.924946557894479326e+00,5.019018709065541373e-01,8.303406878519263401e+00,2.936072299417849862e+00,2.389524248492146796e+01,-5.943882184470167829e+01
1.671891327063660115e-01,4.563071815800878381e-03,2.740005961675875401e+00,3.609095747161231160e-01,7.377376948897565789e+00,1.977788772696164266e+00,1.839570983196078657e+01,-5.931693892721760619e+01
1.880877742946617803e-01,5.425344169761359830e-03,2.575530325143583710e+00,2.831166764884845977e-01,6.553201403228328559e+00,1.458351171699915128e+00,1.525988570053917215e+01,-5.810755346845583347e+01
2.089864158829575214e-01,7.104656948787226728e-03,2.422172622649210183e+00,2.156100608710743161e-01,5.820432515562524500e+00,1.044489573219291811e+00,1.214369260301337583e+01,-5.604445672170601256e+01
2.298850574712532902e-01,1.016586663858243429e-02,2.307603181724818597e+00,1.473188702484588553e-01,5.303329594775223477e+00,6.799069874268987013e-01,8.695385604813141711e+00,-5.503563120124284325e+01
2.507836990595490589e-01,1.392093853709090896e-02,2.231416894456752509e+00,9.970547612214222810e-02,4.969280174898274893e+00,4.449689677776050289e-01,6.208084600691649690e+00,-5.537830481233130797e+01
2.716823406478448000e-01,1.729385381956038276e-02,2.174234644416480400e+00,8.013843471144263542e-02,4.720874120262858575e+00,3.484795221978536084e-01,5.267047939850907134e+00,-5.623866288030555438e+01
2.925809822361405410e-01,1.952176071716951386e-02,2.119486816083072434e+00,8.248346532314360102e-02,4.485420841498245714e+00,3.496452345944963125e-01,5.691179788719304966e+00,-5.673223795348156528e+01
3.134796238244362820e-01,2.045659538003140668e-02,2.059429082430032310e+00,9.512838438166691668e-02,4.232198736043538467e+00,3.918203227203754246e-01,6.833211661554937422e+00,-5.636843424111473411e+01
3.343782654127320231e-01,2.057456248599692089e-02,1.994308034225773962e+00,1.077258053827220008e-01,3.965659686232114733e+00,4.296768783364092181e-01,7.992978102109570493e+00,-5.516809054780782873e+01
3.552769070010278196e-01,2.058061505192810420e-02,1.929128500257020207e+00,1.142325639893597145e-01,3.708487691828316724e+00,4.407385896986151796e-01,8.711173333834004495e+00,-5.353310626193751887e+01
3.761755485893235607e-01,2.076955672257600055e-02,1.870146738771738093e+00,1.144727786577385831e-01,3.484344807484943907e+00,4.281617873698176924e-01,8.960393166463493486e+00,-5.199134274189638205e+01
3.970741901776193017e-01,2.083050347898281196e-02,1.820153008696099528e+00,1.128463435191852937e-01,3.300222677819813377e+00,4.107952233535974162e-01,9.074561376090835907e+00,-5.081245029615342901e+01
4.179728317659150427e-01,2.037593329413637730e-02,1.776868656312104333e+00,1.133356480511539949e-01,3.144417252665208107e+00,4.027651213298311106e-01,9.365446913117191130e+00,-4.986386575157774814e+01
4.388714733542107838e-01,1.951313316262021091e-02,1.736069097412364037e+00,1.158809168357422675e-01,3.000507524103487977e+00,4.023545573966885724e-01,9.823695127480423395e+00,-4.884342840349073356e+01
4.597701149425065803e-01,1.885551350630186584e-02,1.696018288989332046e+00,1.168343365179343313e-01,2.862827774396715430e+00,3.963063430327016246e-01,1.013678792549017338e+01,-4.764771097598657690e+01
4.806687565308023213e-01,1.891395601614552849e-02,1.659606062826377348e+00,1.133065414977403457e-01,2.741453911423890499e+00,3.760884464550767747e-01,1.005690816405479815e+01,-4.656788110404254155e+01
5.015673981190981179e-01,1.949025877643725119e-02,1.630705979758707347e+00,1.073101658632980709e-01,2.647686520723197212e+00,3.499826583243577649e-01,9.765723495299997836e+00,-4.597613791881916256e+01
5.224660397073938034e-01,1.993043737080826133e-02,1.609055889204296097e+00,1.034235520296811345e-01,2.578364423468591848e+00,3.328285509515707119e-01,9.674025753566992236e+00,-4.587688777748775237e+01
5.433646812956895999e-01,1.984129173980628616e-02,1.590717112449052895e+00,1.039008906326126247e-01,2.519585536764002764e+00,3.305538494559888130e-01,9.992225430098322647e+00,-4.593515177225167179e+01
5.642633228839852855e-01,1.942170719939114928e-02,1.571718500078905345e+00,1.071317219895176753e-01,2.458821837633844876e+00,3.367618187924700246e-01,1.057141852278681249e+01,-4.579443195522126331e+01
