time_ps,amplitude,stderr
9.900000000000000000e+01,-1.267619047619048022e-04,6.499242021373857719e-06
9.904999999999999716e+01,-1.279523809523809390e-04,6.648781483587747311e-06
9.909999999999998010e+01,-1.221428571428571767e-04,7.986494512000683659e-06
9.914999999999999147e+01,-1.328571428571428145e-04,8.047518415021097070e-06
9.919999999999998863e+01,-1.214285714285714567e-04,6.365398853105663169e-06
9.924999999999998579e+01,-1.342857142857142817e-04,6.266772118294780753e-06
9.929999999999998295e+01,-1.375238095238094952e-04,7.086702927640165035e-06
9.934999999999996589e+01,-1.211904761904761263e-04,6.496138578764334915e-06
9.939999999999997726e+01,-1.365714285714285533e-04,6.246372449051594826e-06
9.944999999999997442e+01,-1.363809523809524408e-04,7.044477451411003789e-06
9.949999999999997158e+01,-1.160952380952380840e-04,7.336719187735981664e-06
9.954999999999996874e+01,-1.264285714285714427e-04,5.944007716110983980e-06
9.959999999999995168e+01,-1.315714285714285402e-04,6.299960664415122655e-06
9.964999999999996305e+01,-1.176666666666666762e-04,6.838240039144237955e-06
9.969999999999996021e+01,-1.187619047619047703e-04,6.950734436782086890e-06
9.974999999999995737e+01,-1.209523809523809586e-04,6.920421682208621183e-06
9.979999999999995453e+01,-1.205714285714285709e-04,7.780516894698448930e-06
9.984999999999995168e+01,-1.156190476190476266e-04,5.174610130346032951e-06
9.989999999999994884e+01,-1.116666666666666795e-04,6.685998049420567990e-06
9.994999999999994600e+01,-1.078571428571428574e-04,6.212923717609069000e-06
9.999999999999994316e+01,-1.084761904761904941e-04,7.374900598525950869e-06
1.000499999999999403e+02,-8.971428571428570139e-05,9.169497751701809188e-06
1.000999999999999375e+02,-1.050952380952381284e-04,5.424059269701548084e-06
1.001499999999999346e+02,-9.580952380952378151e-05,7.432785594599193071e-06
1.001999999999999318e+02,-9.595238095238096075e-05,6.104712909408207518e-06
1.002499999999999289e+02,-8.899999999999999491e-05,8.011117558440107944e-06
1.002999999999999261e+02,-6.585714285714283937e-05,5.963757835072373052e-06
1.003499999999999233e+02,-7.580952380952379682e-05,7.755857861883451199e-06
1.003999999999999204e+02,-7.204761904761907061e-05,8.096495167170143770e-06
1.004499999999999176e+02,-6.490476190476189740e-05,6.483260280074715245e-06
1.004999999999999147e+02,-4.857142857142857589e-05,6.608688610015825024e-06
1.005499999999999119e+02,-5.419047619047620535e-05,6.326279467377561600e-06
1.005999999999999091e+02,-3.447619047619047072e-05,8.161579568953588340e-06
1.006499999999999062e+02,-3.485714285714285835e-05,7.518727294103495375e-06
1.006999999999998892e+02,-1.023809523809523970e-05,8.655199735032044253e-06
1.007499999999999005e+02,1.152380952380952593e-05,4.878017479442689185e-06
1.007999999999998977e+02,3.476190476190475297e-06,7.452056747492175368e-06
1.008499999999998948e+02,3.066666666666667573e-05,6.377990309889636230e-06
1.008999999999998920e+02,4.533333333333333523e-05,5.646288555502899273e-06
1.009499999999998749e+02,5.885714285714286573e-05,8.934415321099619070e-06
1.009999999999998863e+02,5.571428571428571521e-05,6.685202608479693497e-06
1.010499999999998835e+02,4.719047619047618428e-05,6.151547755688757224e-06
1.010999999999998806e+02,4.785714285714285585e-05,6.157933826535143174e-06
1.011499999999998778e+02,3.676190476190476262e-05,7.836756346027030427e-06
1.011999999999998607e+02,1.504761904761904883e-05,5.701667852912396612e-06
1.012499999999998721e+02,-1.371428571428571415e-05,6.813209601420339930e-06
1.012999999999998693e+02,-6.552380952380952052e-05,6.377685561694987542e-06
1.013499999999998664e+02,-1.074285714285714145e-04,6.876060450652222578e-06
1.013999999999998636e+02,-1.814761904761904795e-04,6.722912230634442225e-06
1.014499999999998607e+02,-2.503809523809522844e-04,8.021014942264331180e-06
