freq_THz,fft_mag,n,k,eps_real,eps_imag,sigma_real,sigma_imag
0.000000000000000000e+00,1.182422641509429592e-03,nan,nan,nan,nan,nan,nan
2.089864158829575144e-02,1.300393628709764536e-03,1.092835279042170527e+01,1.197341785091689426e+00,1.179952673615913170e+02,2.616994687639054007e+01,3.042632482434120078e+01,-1.360238148158363458e+02
4.179728317659150288e-02,1.543070478093603020e-03,7.607802602187966556e+00,3.855116076749864340e-01,5.773004123420584222e+01,5.865792424086856194e+00,1.363965364472626263e+01,-1.319136542418756051e+02
6.269592476488726474e-02,1.697171777548127369e-03,6.467863401589350580e+00,6.871356106230273042e-01,4.136110163423268204e+01,8.888598535754857366e+00,3.100282024561854399e+01,-1.407767460582007573e+02
8.359456635318300577e-02,1.580856541735149202e-03,5.468231447137822165e+00,9.168614965788871585e-01,2.906092015555812580e+01,1.002722173652503557e+01,4.663234619195142017e+01,-1.304994122541639001e+02
1.044932079414787607e-01,1.114834372538581891e-03,4.735064137407090534e+00,1.059638642458930580e+00,2.129799833276655008e+01,1.003491386903603377e+01,5.833514878836630402e+01,-1.179967031407806815e+02
1.253918495297745295e-01,3.965201822038757172e-04,nan,nan,nan,nan,nan,nan
1.462904911180702705e-01,5.761969856999876261e-04,3.047483039253154669e+00,1.084534046313188060e+00,8.110938776923187987e+00,6.610198223264071693e+00,5.379713893612567688e+01,-5.787241901492033946e+01
1.671891327063660115e-01,1.252390359763004687e-03,2.795960014293644491e+00,7.264376345521242895e-01,7.289680764635231291e+00,4.062181158171597417e+00,3.778295584553958975e+01,-5.850126357233080654e+01
1.880877742946617803e-01,1.658583058673493080e-03,2.633344527961984483e+00,5.809324280956981168e-01,6.597020916934163814e+00,3.059590461282951424e+00,3.201492317876709137e+01,-5.856607181683471453e+01
2.089864158829575214e-01,1.989083013681238431e-03,2.464559413289927114e+00,5.045034678700528463e-01,5.819529352543080236e+00,2.486757541553102246e+00,2.891213080257904977e+01,-5.603395615342869007e+01
2.298850574712532902e-01,2.749768493135043308e-03,2.307410951192741866e+00,4.187572278611936261e-01,5.148787681798202343e+00,1.932490026916064974e+00,2.471477168529260737e+01,-5.305918214234100816e+01
2.507836990595490589e-01,4.035429857829895758e-03,2.199570701437126630e+00,3.364305895400596103e-01,4.724925729042340983e+00,1.480005735639069897e+00,2.064863278499092658e+01,-5.196913882036275112e+01
2.716823406478448000e-01,5.492252791149115389e-03,2.123937852693120298e+00,2.831817819724511964e-01,4.430920080461570265e+00,1.202921011848758770e+00,1.818139154146371794e+01,-5.185619065251210458e+01
2.925809822361405410e-01,6.824729835637507840e-03,2.056224609460546304e+00,2.557194246055047859e-01,4.162667220430606108e+00,1.051633147981859473e+00,1.711744569858875309e+01,-5.147877328925864759e+01
3.134796238244362820e-01,8.001623607897556320e-03,1.985846327504579456e+00,2.399794141932323210e-01,3.885995517226898510e+00,9.531244767046614941e-01,1.662216304635047237e+01,-5.033076918162776536e+01
3.343782654127320231e-01,9.235977239556205851e-03,1.914030464157360889e+00,2.240152180220004452e-01,3.613329799816997756e+00,8.575439034579238617e-01,1.595228877214624497e+01,-4.861394437699640747e+01
3.552769070010278196e-01,1.075304787288427523e-02,1.847256180888501520e+00,2.032993086980352526e-01,3.371024788913673298e+00,7.510918091256102436e-01,1.484528718801387548e+01,-4.686317104469576833e+01
3.761755485893235607e-01,1.254611718515459724e-02,1.790326217730476399e+00,1.801070122315267530e-01,3.172829430038145659e+00,6.449006119904119316e-01,1.349621383128213026e+01,-4.547207749763102669e+01
3.970741901776193017e-01,1.441977962856986518e-02,1.743298506748922394e+00,1.585564220714431316e-01,3.013949544652925194e+00,5.528223476651973334e-01,1.221197335988577848e+01,-4.448861065643917101e+01
4.179728317659150427e-01,1.622609548929628345e-02,1.703328463078469301e+00,1.406727201451389297e-01,2.881539038940228004e+00,4.792236964037742131e-01,1.114332858157774986e+01,-4.375119157778744494e+01
4.388714733542107838e-01,1.799775076934309256e-02,1.667709255493715403e+00,1.258241026024354836e-01,2.765422456063694412e+00,4.196760409485451038e-01,1.024660812906310525e+01,-4.310370458281821016e+01
4.597701149425065803e-01,1.986408866135660339e-02,1.635628111472121393e+00,1.123710798376102854e-01,2.662652059453987974e+00,3.675945941977469822e-01,9.402394156562133176e+00,-4.252758406941227065e+01
4.806687565308023213e-01,2.185803916757010287e-02,1.607763050210696765e+00,9.969852295135565867e-02,2.574962230144121289e+00,3.205832027235454573e-01,8.572653212611703211e+00,-4.211575936381853325e+01
5.015673981190981179e-01,2.384051003738033719e-02,1.584528046139877411e+00,8.877059393121324027e-02,2.502848910656957138e+00,2.813189915130035468e-01,7.849770323609878808e+00,-4.193466895461665445e+01
5.224660397073938034e-01,2.563801782932002143e-02,1.564839274386794488e+00,8.098920218871226429e-02,2.442162703792225553e+00,2.534701687722997754e-01,7.367387603778611016e+00,-4.191803586991506592e+01
5.433646812956895999e-01,2.724975108309899904e-02,1.546432740792726745e+00,7.657129189198690067e-02,2.385591059053696839e+00,2.368247055731304007e-01,7.158911776093091817e+00,-4.188466792560105745e+01
5.642633228839852855e-01,2.891902026086326863e-02,1.527507270963771591e+00,7.396539273054969499e-02,2.327807583525404844e+00,2.259653503912111006e-01,7.093364381981043465e+00,-4.168171360253718660e+01
5.851619644722810820e-01,3.097599201282321205e-02,1.508060748679285190e+00,7.107912231575071182e-02,2.269194980077948731e+00,2.143832688299150135e-01,6.979038212944058017e+00,-4.131740463696468169e+01
6.060606060605768786e-01,3.356483534111460304e-02,1.489410396767530953e+00,6.696321947102744365e-02,2.213859257237289047e+00,1.994714305623484785e-01,6.725512072143360776e+00,-4.092729001550227963e+01
6.269592476488725641e-01,3.652502711693242365e-02,1.472677434971124244e+00,6.211996447141952815e-02,2.164919937487199242e+00,1.829653398765349603e-01,6.381705192953670114e+00,-4.063160607060280682e+01
6.478578892371683606e-01,3.954075855485653102e-02,1.457957351831925763e+00,5.754988969690751077e-02,2.122327649956635476e+00,1.678105695614454107e-01,6.048221136981242196e+00,-4.045088359348358154e+01
6.687565308254640462e-01,4.237664509602461632e-02,1.444598961312694385e+00,5.380881587159629109e-02,2.083970770360211944e+00,1.554643190351480408e-01,5.783987737568792475e+00,-4.032869845992756552e+01
6.896551724137598427e-01,4.498453177655648005e-02,1.431928069458155539e+00,5.077056701076734097e-02,2.047840345627565561e+00,1.453996000100480079e-01,5.578581830690014343e+00,-4.020274549020715682e+01
7.105538140020556392e-01,4.743219310369459901e-02,1.419728666809404904e+00,4.799634518788173376e-02,2.013325838209016005e+00,1.362835743306306524e-01,5.387274299536128908e+00,-4.005665592535296327e+01
7.314524555903513248e-01,4.975199085001206362e-02,1.408199152886408401e+00,4.523278881111131300e-02,1.980978849006367559e+00,1.273935497729935251e-01,5.183965945668575159e+00,-3.991851201047404629e+01
7.523510971786471213e-01,5.185510157742933418e-02,1.397571674423296884e+00,4.259984511067382851e-02,1.951391838346884233e+00,1.190726737229950427e-01,4.983807539174494039e+00,-3.982067143039725465e+01
7.732497387669428068e-01,5.357748431809883360e-02,1.387800974325462011e+00,4.039208442696585327e-02,1.924360023854346569e+00,1.121123482455590598e-01,4.822828621093183443e+00,-3.976395150937987211e+01
7.941483803552386034e-01,5.479133827713495580e-02,1.378573060401869554e+00,3.875011561947389049e-02,1.898962111405254172e+00,1.068397309609288165e-01,4.720228673036203304e+00,-3.971656139587265955e+01
8.150470219435343999e-01,5.547031597913291284e-02,1.369568234201568924e+00,3.751429904197469550e-02,1.874309825501392801e+00,1.027567845924537843e-01,4.659311748190185121e+00,-3.964392285797459436e+01
8.359456635318300854e-01,5.566834238404491653e-02,1.360704907056015545e+00,3.636591852337481279e-02,1.850195364056271163e+00,9.896656756871072269e-02,4.602514396866850710e+00,-3.953897259801083663e+01
8.568443051201258820e-01,5.547057679170293992e-02,1.352150237582092185e+00,3.509175440610410451e-02,1.827078833766009991e+00,9.489864811477219386e-02,4.523666072741201027e+00,-3.942551905760243613e+01
8.777429467084215675e-01,5.500202185421905476e-02,1.344119865322150442e+00,3.373246680853901613e-02,1.805520333036646718e+00,9.068095748735474637e-02,4.428045184762297914e+00,-3.933439313792467829e+01
8.986415882967173641e-01,5.450145184011204180e-02,1.336647897703648002e+00,3.250550140355051854e-02,1.785570994814085655e+00,8.689682022971756403e-02,4.344291882326000831e+00,-3.927358546307863918e+01
9.195402298850131606e-01,5.435259050052310831e-02,1.329522996117426636e+00,3.156032630937331829e-02,1.766635343008304826e+00,8.392035918656332028e-02,4.293057119375747632e+00,-3.921824631315250542e+01
9.404388714733089571e-01,5.494147357085123889e-02,1.322489701449310662e+00,3.078777271040081254e-02,1.748031123491019523e+00,8.143302468013441375e-02,4.260491824542993911e+00,-3.913621652462902034e+01
9.613375130616046427e-01,5.637135668933043048e-02,1.315522822870048403e+00,2.993621653604735047e-02,1.729704120431487580e+00,7.876355216710007046e-02,4.212401727761568182e+00,-3.902575256051336794e+01
9.822361546499003282e-01,5.829549706726169789e-02,1.308811379941838604e+00,2.890786949060578093e-02,1.712151563346773875e+00,7.566989711835665766e-02,4.134925201073317069e+00,-3.891499206957408319e+01
1.003134796238196236e+00,6.007804590169629061e-02,1.302499517545955943e+00,2.783461882774728585e-02,1.695730227202161933e+00,7.250915518843284446e-02,4.046511126227138710e+00,-3.882654677067863958e+01
1.024033437826491921e+00,6.115967797932294475e-02,1.296541528441701008e+00,2.690243857591150325e-02,1.680296193772611524e+00,6.976025766004255446e-02,3.974210005146946223e+00,-3.875616332912565554e+01
1.044932079414787607e+00,6.134029063102653528e-02,1.290766592343434160e+00,2.617752569543818977e-02,1.665393133058345798e+00,6.757815127576687064e-02,3.928465715763316268e+00,-3.868075792806433100e+01
1.065830721003083292e+00,6.080556919670221383e-02,1.285030680254279689e+00,2.556305198293975026e-02,1.650650379568094239e+00,6.569861215802516585e-02,3.895588076543842426e+00,-3.858020401629718066e+01
1.086729362591379200e+00,5.989541388578513426e-02,1.279338347778289364e+00,2.488762821044820939e-02,1.636087214058141726e+00,6.367939430975030901e-02,3.849895345296014515e+00,-3.845622640022173044e+01
1.107628004179675107e+00,5.877167474110919082e-02,1.273841700573621782e+00,2.406246407299826931e-02,1.622093675943032443e+00,6.130354030947958444e-02,3.777531390295501446e+00,-3.833348574512485385e+01
1.128526645767970571e+00,5.725067366282200060e-02,1.268700814378044051e+00,2.316967552688524098e-02,1.609064922539491072e+00,5.879077241966868678e-02,3.691047059638498329e+00,-3.823877793985628415e+01
1.149425287356266256e+00,5.496280021730776122e-02,1.263936492729331729e+00,2.239056846482581978e-02,1.597034120096745946e+00,5.660051315129584898e-02,3.619342765864209888e+00,-3.817758891637873830e+01
1.170323928944562164e+00,5.172331163289865807e-02,1.259409786615182769e+00,2.185504276786816302e-02,1.585635367727714851e+00,5.504890949749307455e-02,3.584127110858696508e+00,-3.812957636601671396e+01
1.191222570532857850e+00,4.785063075862620169e-02,1.254916456618131670e+00,2.153846586572399566e-02,1.574351407579158257e+00,5.405795053040987619e-02,3.582457843223049831e+00,-3.806266579956029261e+01
1.212121212121153757e+00,4.422049937493290062e-02,1.250333683068095558e+00,2.125022221152626442e-02,1.562882747070589495e+00,5.313973720750617136e-02,3.583389792633978832e+00,-3.795706182035111453e+01
1.233019853709449443e+00,4.190835536550494012e-02,1.245764354937856755e+00,2.076526987890764397e-02,1.551497631600590399e+00,5.173726607161577284e-02,3.548968492628916671e+00,-3.783052076235924233e+01
